Fra_dato;Til_dato;Maengde;Maaleenhed
18-05-2020 09:00:00;18-05-2020 10:00:00;0.307;KWH
18-05-2020 10:00:00;18-05-2020 11:00:00;0.375;KWH
18-05-2020 11:00:00;18-05-2020 12:00:00;0.373;KWH
18-05-2020 12:00:00;18-05-2020 13:00:00;0.743;KWH
18-05-2020 13:00:00;18-05-2020 14:00:00;1.185;KWH
18-05-2020 14:00:00;18-05-2020 15:00:00;0.844;KWH
18-05-2020 15:00:00;18-05-2020 16:00:00;0.332;KWH
18-05-2020 16:00:00;18-05-2020 17:00:00;0.334;KWH
18-05-2020 17:00:00;18-05-2020 18:00:00;0.193;KWH
18-05-2020 18:00:00;18-05-2020 19:00:00;0.076;KWH
18-05-2020 19:00:00;18-05-2020 20:00:00;0.051;KWH
18-05-2020 20:00:00;18-05-2020 21:00:00;0;KWH
18-05-2020 21:00:00;18-05-2020 22:00:00;0;KWH
18-05-2020 22:00:00;18-05-2020 23:00:00;0;KWH
18-05-2020 23:00:00;19-05-2020 00:00:00;0;KWH
19-05-2020 00:00:00;19-05-2020 01:00:00;0;KWH
19-05-2020 01:00:00;19-05-2020 02:00:00;0;KWH
19-05-2020 02:00:00;19-05-2020 03:00:00;0;KWH
19-05-2020 03:00:00;19-05-2020 04:00:00;0;KWH
19-05-2020 04:00:00;19-05-2020 05:00:00;0;KWH
19-05-2020 05:00:00;19-05-2020 06:00:00;0.007;KWH
19-05-2020 06:00:00;19-05-2020 07:00:00;0.055;KWH
19-05-2020 07:00:00;19-05-2020 08:00:00;0.116;KWH
19-05-2020 08:00:00;19-05-2020 09:00:00;0.401;KWH
19-05-2020 09:00:00;19-05-2020 10:00:00;0.411;KWH
19-05-2020 10:00:00;19-05-2020 11:00:00;0.928;KWH
19-05-2020 11:00:00;19-05-2020 12:00:00;1.588;KWH
19-05-2020 12:00:00;19-05-2020 13:00:00;2.359;KWH
19-05-2020 13:00:00;19-05-2020 14:00:00;2.346;KWH
19-05-2020 14:00:00;19-05-2020 15:00:00;2.412;KWH
19-05-2020 15:00:00;19-05-2020 16:00:00;1.957;KWH
19-05-2020 16:00:00;19-05-2020 17:00:00;1.549;KWH
19-05-2020 17:00:00;19-05-2020 18:00:00;1.227;KWH
19-05-2020 18:00:00;19-05-2020 19:00:00;0.962;KWH
19-05-2020 19:00:00;19-05-2020 20:00:00;0.269;KWH
19-05-2020 20:00:00;19-05-2020 21:00:00;0.019;KWH
19-05-2020 21:00:00;19-05-2020 22:00:00;0;KWH
19-05-2020 22:00:00;19-05-2020 23:00:00;0;KWH
19-05-2020 23:00:00;20-05-2020 00:00:00;0;KWH
20-05-2020 00:00:00;20-05-2020 01:00:00;0;KWH
20-05-2020 01:00:00;20-05-2020 02:00:00;0;KWH
20-05-2020 02:00:00;20-05-2020 03:00:00;0;KWH
20-05-2020 03:00:00;20-05-2020 04:00:00;0;KWH
20-05-2020 04:00:00;20-05-2020 05:00:00;0;KWH
20-05-2020 05:00:00;20-05-2020 06:00:00;0.005;KWH
20-05-2020 06:00:00;20-05-2020 07:00:00;0.191;KWH
20-05-2020 07:00:00;20-05-2020 08:00:00;0.612;KWH
20-05-2020 08:00:00;20-05-2020 09:00:00;1.034;KWH
20-05-2020 09:00:00;20-05-2020 10:00:00;1.036;KWH
20-05-2020 10:00:00;20-05-2020 11:00:00;1.586;KWH
20-05-2020 11:00:00;20-05-2020 12:00:00;1.773;KWH
20-05-2020 12:00:00;20-05-2020 13:00:00;2.133;KWH
20-05-2020 13:00:00;20-05-2020 14:00:00;2.092;KWH
20-05-2020 14:00:00;20-05-2020 15:00:00;2.015;KWH
20-05-2020 15:00:00;20-05-2020 16:00:00;2.046;KWH
20-05-2020 16:00:00;20-05-2020 17:00:00;1.861;KWH
20-05-2020 17:00:00;20-05-2020 18:00:00;1.172;KWH
20-05-2020 18:00:00;20-05-2020 19:00:00;0.836;KWH
20-05-2020 19:00:00;20-05-2020 20:00:00;0.241;KWH
20-05-2020 20:00:00;20-05-2020 21:00:00;0.025;KWH
20-05-2020 21:00:00;20-05-2020 22:00:00;0.001;KWH
20-05-2020 22:00:00;20-05-2020 23:00:00;0;KWH
20-05-2020 23:00:00;21-05-2020 00:00:00;0;KWH
21-05-2020 00:00:00;21-05-2020 01:00:00;0;KWH
21-05-2020 01:00:00;21-05-2020 02:00:00;0;KWH
21-05-2020 02:00:00;21-05-2020 03:00:00;0;KWH
21-05-2020 03:00:00;21-05-2020 04:00:00;0;KWH
21-05-2020 04:00:00;21-05-2020 05:00:00;0;KWH
21-05-2020 05:00:00;21-05-2020 06:00:00;0.022;KWH
21-05-2020 06:00:00;21-05-2020 07:00:00;0.145;KWH
21-05-2020 07:00:00;21-05-2020 08:00:00;0.431;KWH
21-05-2020 08:00:00;21-05-2020 09:00:00;1.003;KWH
21-05-2020 09:00:00;21-05-2020 10:00:00;1.183;KWH
21-05-2020 10:00:00;21-05-2020 11:00:00;2.082;KWH
21-05-2020 11:00:00;21-05-2020 12:00:00;2.21;KWH
21-05-2020 12:00:00;21-05-2020 13:00:00;1.845;KWH
21-05-2020 13:00:00;21-05-2020 14:00:00;1.522;KWH
21-05-2020 14:00:00;21-05-2020 15:00:00;1.747;KWH
21-05-2020 15:00:00;21-05-2020 16:00:00;0.91;KWH
21-05-2020 16:00:00;21-05-2020 17:00:00;0.538;KWH
21-05-2020 17:00:00;21-05-2020 18:00:00;0.425;KWH
21-05-2020 18:00:00;21-05-2020 19:00:00;0.395;KWH
21-05-2020 19:00:00;21-05-2020 20:00:00;0.138;KWH
21-05-2020 20:00:00;21-05-2020 21:00:00;0.045;KWH
21-05-2020 21:00:00;21-05-2020 22:00:00;0;KWH
21-05-2020 22:00:00;21-05-2020 23:00:00;0;KWH
21-05-2020 23:00:00;22-05-2020 00:00:00;0;KWH
22-05-2020 00:00:00;22-05-2020 01:00:00;0;KWH
22-05-2020 01:00:00;22-05-2020 02:00:00;0;KWH
22-05-2020 02:00:00;22-05-2020 03:00:00;0;KWH
22-05-2020 03:00:00;22-05-2020 04:00:00;0;KWH
22-05-2020 04:00:00;22-05-2020 05:00:00;0;KWH
22-05-2020 05:00:00;22-05-2020 06:00:00;0.005;KWH
22-05-2020 06:00:00;22-05-2020 07:00:00;0.124;KWH
22-05-2020 07:00:00;22-05-2020 08:00:00;0.631;KWH
22-05-2020 08:00:00;22-05-2020 09:00:00;1.259;KWH
22-05-2020 09:00:00;22-05-2020 10:00:00;1.763;KWH
22-05-2020 10:00:00;22-05-2020 11:00:00;2.067;KWH
22-05-2020 11:00:00;22-05-2020 12:00:00;2.403;KWH
22-05-2020 12:00:00;22-05-2020 13:00:00;2.325;KWH
22-05-2020 13:00:00;22-05-2020 14:00:00;1.572;KWH
22-05-2020 14:00:00;22-05-2020 15:00:00;1.043;KWH
22-05-2020 15:00:00;22-05-2020 16:00:00;0.703;KWH
22-05-2020 16:00:00;22-05-2020 17:00:00;0.522;KWH
22-05-2020 17:00:00;22-05-2020 18:00:00;0.459;KWH
22-05-2020 18:00:00;22-05-2020 19:00:00;0.207;KWH
22-05-2020 19:00:00;22-05-2020 20:00:00;0.012;KWH
22-05-2020 20:00:00;22-05-2020 21:00:00;0;KWH
22-05-2020 21:00:00;22-05-2020 22:00:00;0;KWH
22-05-2020 22:00:00;22-05-2020 23:00:00;0;KWH
22-05-2020 23:00:00;23-05-2020 00:00:00;0;KWH
23-05-2020 00:00:00;23-05-2020 01:00:00;0;KWH
23-05-2020 01:00:00;23-05-2020 02:00:00;0;KWH
23-05-2020 02:00:00;23-05-2020 03:00:00;0;KWH
23-05-2020 03:00:00;23-05-2020 04:00:00;0;KWH
23-05-2020 04:00:00;23-05-2020 05:00:00;0;KWH
23-05-2020 05:00:00;23-05-2020 06:00:00;0.006;KWH
23-05-2020 06:00:00;23-05-2020 07:00:00;0.143;KWH
23-05-2020 07:00:00;23-05-2020 08:00:00;0.474;KWH
23-05-2020 08:00:00;23-05-2020 09:00:00;0.37;KWH
23-05-2020 09:00:00;23-05-2020 10:00:00;1.028;KWH
23-05-2020 10:00:00;23-05-2020 11:00:00;1.276;KWH
23-05-2020 11:00:00;23-05-2020 12:00:00;1.707;KWH
23-05-2020 12:00:00;23-05-2020 13:00:00;0.74;KWH
23-05-2020 13:00:00;23-05-2020 14:00:00;0.657;KWH
23-05-2020 14:00:00;23-05-2020 15:00:00;0.839;KWH
23-05-2020 15:00:00;23-05-2020 16:00:00;1.399;KWH
23-05-2020 16:00:00;23-05-2020 17:00:00;1.42;KWH
23-05-2020 17:00:00;23-05-2020 18:00:00;1.356;KWH
23-05-2020 18:00:00;23-05-2020 19:00:00;0.925;KWH
23-05-2020 19:00:00;23-05-2020 20:00:00;0.357;KWH
23-05-2020 20:00:00;23-05-2020 21:00:00;0.039;KWH
23-05-2020 21:00:00;23-05-2020 22:00:00;0;KWH
23-05-2020 22:00:00;23-05-2020 23:00:00;0;KWH
23-05-2020 23:00:00;24-05-2020 00:00:00;0;KWH
24-05-2020 00:00:00;24-05-2020 01:00:00;0;KWH
24-05-2020 01:00:00;24-05-2020 02:00:00;0;KWH
24-05-2020 02:00:00;24-05-2020 03:00:00;0;KWH
24-05-2020 03:00:00;24-05-2020 04:00:00;0;KWH
24-05-2020 04:00:00;24-05-2020 05:00:00;0;KWH
24-05-2020 05:00:00;24-05-2020 06:00:00;0.027;KWH
24-05-2020 06:00:00;24-05-2020 07:00:00;0.149;KWH
24-05-2020 07:00:00;24-05-2020 08:00:00;0.424;KWH
