Fra_dato;Til_dato;Maengde;Maaleenhed
17-05-2020 18:00:00;17-05-2020 19:00:00;0.246;KWH
17-05-2020 19:00:00;17-05-2020 20:00:00;0.216;KWH
17-05-2020 20:00:00;17-05-2020 21:00:00;0.174;KWH
17-05-2020 21:00:00;17-05-2020 22:00:00;0.168;KWH
17-05-2020 22:00:00;17-05-2020 23:00:00;0.101;KWH
17-05-2020 23:00:00;18-05-2020 00:00:00;0.092;KWH
18-05-2020 00:00:00;18-05-2020 01:00:00;0.106;KWH
18-05-2020 01:00:00;18-05-2020 02:00:00;0.091;KWH
18-05-2020 02:00:00;18-05-2020 03:00:00;0.076;KWH
18-05-2020 03:00:00;18-05-2020 04:00:00;0.103;KWH
18-05-2020 04:00:00;18-05-2020 05:00:00;0.077;KWH
18-05-2020 05:00:00;18-05-2020 06:00:00;0.09;KWH
18-05-2020 06:00:00;18-05-2020 07:00:00;0.161;KWH
18-05-2020 07:00:00;18-05-2020 08:00:00;0.137;KWH
18-05-2020 08:00:00;18-05-2020 09:00:00;0.076;KWH
18-05-2020 09:00:00;18-05-2020 10:00:00;0.052;KWH
18-05-2020 10:00:00;18-05-2020 11:00:00;0.05;KWH
18-05-2020 11:00:00;18-05-2020 12:00:00;0.349;KWH
18-05-2020 12:00:00;18-05-2020 13:00:00;0.584;KWH
18-05-2020 13:00:00;18-05-2020 14:00:00;0.155;KWH
18-05-2020 14:00:00;18-05-2020 15:00:00;0.062;KWH
18-05-2020 15:00:00;18-05-2020 16:00:00;0.04;KWH
18-05-2020 16:00:00;18-05-2020 17:00:00;0.657;KWH
18-05-2020 17:00:00;18-05-2020 18:00:00;1.003;KWH
18-05-2020 18:00:00;18-05-2020 19:00:00;0.25;KWH
18-05-2020 19:00:00;18-05-2020 20:00:00;0.17;KWH
18-05-2020 20:00:00;18-05-2020 21:00:00;0.232;KWH
18-05-2020 21:00:00;18-05-2020 22:00:00;0.201;KWH
18-05-2020 22:00:00;18-05-2020 23:00:00;0.155;KWH
18-05-2020 23:00:00;19-05-2020 00:00:00;0.083;KWH
19-05-2020 00:00:00;19-05-2020 01:00:00;0.106;KWH
19-05-2020 01:00:00;19-05-2020 02:00:00;0.089;KWH
19-05-2020 02:00:00;19-05-2020 03:00:00;0.084;KWH
19-05-2020 03:00:00;19-05-2020 04:00:00;0.088;KWH
19-05-2020 04:00:00;19-05-2020 05:00:00;0.093;KWH
19-05-2020 05:00:00;19-05-2020 06:00:00;0.081;KWH
19-05-2020 06:00:00;19-05-2020 07:00:00;0.101;KWH
19-05-2020 07:00:00;19-05-2020 08:00:00;0.124;KWH
19-05-2020 08:00:00;19-05-2020 09:00:00;0.084;KWH
19-05-2020 09:00:00;19-05-2020 10:00:00;0.226;KWH
19-05-2020 10:00:00;19-05-2020 11:00:00;0.212;KWH
19-05-2020 11:00:00;19-05-2020 12:00:00;0.196;KWH
19-05-2020 12:00:00;19-05-2020 13:00:00;0.222;KWH
19-05-2020 13:00:00;19-05-2020 14:00:00;0.41;KWH
19-05-2020 14:00:00;19-05-2020 15:00:00;0.566;KWH
19-05-2020 15:00:00;19-05-2020 16:00:00;0.122;KWH
19-05-2020 16:00:00;19-05-2020 17:00:00;0.087;KWH
19-05-2020 17:00:00;19-05-2020 18:00:00;0.079;KWH
19-05-2020 18:00:00;19-05-2020 19:00:00;0.247;KWH
19-05-2020 19:00:00;19-05-2020 20:00:00;0.185;KWH
19-05-2020 20:00:00;19-05-2020 21:00:00;0.341;KWH
19-05-2020 21:00:00;19-05-2020 22:00:00;0.617;KWH
19-05-2020 22:00:00;19-05-2020 23:00:00;0.162;KWH
19-05-2020 23:00:00;20-05-2020 00:00:00;0.104;KWH
20-05-2020 00:00:00;20-05-2020 01:00:00;0.083;KWH
20-05-2020 01:00:00;20-05-2020 02:00:00;0.096;KWH
20-05-2020 02:00:00;20-05-2020 03:00:00;0.102;KWH
20-05-2020 03:00:00;20-05-2020 04:00:00;0.083;KWH
20-05-2020 04:00:00;20-05-2020 05:00:00;0.086;KWH
20-05-2020 05:00:00;20-05-2020 06:00:00;0.083;KWH
20-05-2020 06:00:00;20-05-2020 07:00:00;0.065;KWH
20-05-2020 07:00:00;20-05-2020 08:00:00;0.119;KWH
20-05-2020 08:00:00;20-05-2020 09:00:00;0.112;KWH
20-05-2020 09:00:00;20-05-2020 10:00:00;0.209;KWH
20-05-2020 10:00:00;20-05-2020 11:00:00;0.185;KWH
20-05-2020 11:00:00;20-05-2020 12:00:00;0.19;KWH
20-05-2020 12:00:00;20-05-2020 13:00:00;0.16;KWH
20-05-2020 13:00:00;20-05-2020 14:00:00;0.195;KWH
20-05-2020 14:00:00;20-05-2020 15:00:00;0.113;KWH
20-05-2020 15:00:00;20-05-2020 16:00:00;0.106;KWH
20-05-2020 16:00:00;20-05-2020 17:00:00;0.053;KWH
20-05-2020 17:00:00;20-05-2020 18:00:00;0.105;KWH
20-05-2020 18:00:00;20-05-2020 19:00:00;0.174;KWH
20-05-2020 19:00:00;20-05-2020 20:00:00;0.353;KWH
20-05-2020 20:00:00;20-05-2020 21:00:00;0.516;KWH
20-05-2020 21:00:00;20-05-2020 22:00:00;0.083;KWH
20-05-2020 22:00:00;20-05-2020 23:00:00;0.154;KWH
20-05-2020 23:00:00;21-05-2020 00:00:00;0.101;KWH
21-05-2020 00:00:00;21-05-2020 01:00:00;0.074;KWH
21-05-2020 01:00:00;21-05-2020 02:00:00;0.093;KWH
21-05-2020 02:00:00;21-05-2020 03:00:00;0.099;KWH
21-05-2020 03:00:00;21-05-2020 04:00:00;0.084;KWH
21-05-2020 04:00:00;21-05-2020 05:00:00;0.074;KWH
21-05-2020 05:00:00;21-05-2020 06:00:00;0.067;KWH
21-05-2020 06:00:00;21-05-2020 07:00:00;0.547;KWH
21-05-2020 07:00:00;21-05-2020 08:00:00;0.05;KWH
21-05-2020 08:00:00;21-05-2020 09:00:00;0.06;KWH
21-05-2020 09:00:00;21-05-2020 10:00:00;0.102;KWH
21-05-2020 10:00:00;21-05-2020 11:00:00;0.054;KWH
21-05-2020 11:00:00;21-05-2020 12:00:00;1.06;KWH
21-05-2020 12:00:00;21-05-2020 13:00:00;0.371;KWH
21-05-2020 13:00:00;21-05-2020 14:00:00;0.409;KWH
21-05-2020 14:00:00;21-05-2020 15:00:00;0.188;KWH
21-05-2020 15:00:00;21-05-2020 16:00:00;0.214;KWH
21-05-2020 16:00:00;21-05-2020 17:00:00;1.686;KWH
21-05-2020 17:00:00;21-05-2020 18:00:00;0.647;KWH
21-05-2020 18:00:00;21-05-2020 19:00:00;0.087;KWH
21-05-2020 19:00:00;21-05-2020 20:00:00;0.17;KWH
21-05-2020 20:00:00;21-05-2020 21:00:00;0.207;KWH
21-05-2020 21:00:00;21-05-2020 22:00:00;0.771;KWH
21-05-2020 22:00:00;21-05-2020 23:00:00;0.405;KWH
21-05-2020 23:00:00;22-05-2020 00:00:00;0.111;KWH
22-05-2020 00:00:00;22-05-2020 01:00:00;0.076;KWH
22-05-2020 01:00:00;22-05-2020 02:00:00;0.099;KWH
22-05-2020 02:00:00;22-05-2020 03:00:00;0.093;KWH
22-05-2020 03:00:00;22-05-2020 04:00:00;0.095;KWH
22-05-2020 04:00:00;22-05-2020 05:00:00;0.084;KWH
22-05-2020 05:00:00;22-05-2020 06:00:00;0.085;KWH
22-05-2020 06:00:00;22-05-2020 07:00:00;0.632;KWH
22-05-2020 07:00:00;22-05-2020 08:00:00;0.234;KWH
22-05-2020 08:00:00;22-05-2020 09:00:00;0.075;KWH
22-05-2020 09:00:00;22-05-2020 10:00:00;0.127;KWH
22-05-2020 10:00:00;22-05-2020 11:00:00;0.078;KWH
22-05-2020 11:00:00;22-05-2020 12:00:00;0.061;KWH
22-05-2020 12:00:00;22-05-2020 13:00:00;0.064;KWH
22-05-2020 13:00:00;22-05-2020 14:00:00;0.064;KWH
22-05-2020 14:00:00;22-05-2020 15:00:00;0.128;KWH
22-05-2020 15:00:00;22-05-2020 16:00:00;0.249;KWH
22-05-2020 16:00:00;22-05-2020 17:00:00;0.076;KWH
22-05-2020 17:00:00;22-05-2020 18:00:00;0.147;KWH
22-05-2020 18:00:00;22-05-2020 19:00:00;0.053;KWH
22-05-2020 19:00:00;22-05-2020 20:00:00;0.513;KWH
22-05-2020 20:00:00;22-05-2020 21:00:00;0.631;KWH
22-05-2020 21:00:00;22-05-2020 22:00:00;0.226;KWH
22-05-2020 22:00:00;22-05-2020 23:00:00;0.168;KWH
22-05-2020 23:00:00;23-05-2020 00:00:00;0.097;KWH
23-05-2020 00:00:00;23-05-2020 01:00:00;0.107;KWH
23-05-2020 01:00:00;23-05-2020 02:00:00;0.092;KWH
23-05-2020 02:00:00;23-05-2020 03:00:00;0.089;KWH
23-05-2020 03:00:00;23-05-2020 04:00:00;0.102;KWH
23-05-2020 04:00:00;23-05-2020 05:00:00;0.092;KWH
23-05-2020 05:00:00;23-05-2020 06:00:00;0.094;KWH
23-05-2020 06:00:00;23-05-2020 07:00:00;0.052;KWH
23-05-2020 07:00:00;23-05-2020 08:00:00;0.052;KWH
23-05-2020 08:00:00;23-05-2020 09:00:00;0.528;KWH
23-05-2020 09:00:00;23-05-2020 10:00:00;0.128;KWH
23-05-2020 10:00:00;23-05-2020 11:00:00;0.066;KWH
23-05-2020 11:00:00;23-05-2020 12:00:00;0.34;KWH
23-05-2020 12:00:00;23-05-2020 13:00:00;0.146;KWH
23-05-2020 13:00:00;23-05-2020 14:00:00;0.39;KWH
23-05-2020 14:00:00;23-05-2020 15:00:00;0.069;KWH
23-05-2020 15:00:00;23-05-2020 16:00:00;0.066;KWH
23-05-2020 16:00:00;23-05-2020 17:00:00;0.958;KWH
23-05-2020 17:00:00;23-05-2020 18:00:00;1.287;KWH
23-05-2020 18:00:00;23-05-2020 19:00:00;0.908;KWH
23-05-2020 19:00:00;23-05-2020 20:00:00;0.189;KWH
23-05-2020 20:00:00;23-05-2020 21:00:00;0.091;KWH
23-05-2020 21:00:00;23-05-2020 22:00:00;0.193;KWH
23-05-2020 22:00:00;23-05-2020 23:00:00;0.383;KWH
23-05-2020 23:00:00;24-05-2020 00:00:00;0.546;KWH
24-05-2020 00:00:00;24-05-2020 01:00:00;0.091;KWH
